price,km,hp,doors,quarterly_tax,mfr_guarantee,guarantee_period,airco,automatic_airco,cd_player,central_lock,mistlamps,sport_model,age_08_04_calculada
13500.0,46986.0,90,3,210.0,0,3,0,0,0,1,0,0,22
13750.0,72937.0,90,3,210.0,0,3,1,0,1,1,0,0,22
13950.0,41711.0,90,3,210.0,1,3,0,0,0,0,0,0,23
14950.0,48000.0,90,3,210.0,1,3,0,0,0,0,0,0,25
13750.0,38500.0,90,3,210.0,1,3,1,0,0,1,1,0,29
12950.0,61000.0,90,3,210.0,0,3,1,0,0,1,1,0,31
16900.0,94612.0,90,3,210.0,0,3,1,0,0,1,0,1,26
12950.0,71138.0,69,3,185.0,0,3,1,0,0,0,0,0,22
16750.0,25563.0,110,3,19.0,0,3,1,1,1,1,1,0,23
16950.0,64359.0,110,3,85.0,1,3,1,0,1,1,0,1,29
15950.0,67660.0,110,3,85.0,1,3,1,0,1,1,0,1,29
16950.0,43905.0,110,3,100.0,0,3,1,1,0,1,1,1,28
15950.0,56349.0,110,3,85.0,0,3,1,1,1,1,1,1,27
16950.0,32220.0,110,3,85.0,1,3,1,1,1,1,1,1,27
16250.0,25813.0,110,3,85.0,1,3,1,1,1,1,1,1,28
15950.0,28450.0,110,3,85.0,0,3,1,1,1,1,1,1,24
17495.0,34545.0,110,3,85.0,1,3,1,1,1,1,1,0,26
15750.0,41415.0,110,3,85.0,1,3,1,1,1,1,1,1,28
16950.0,44142.0,110,3,85.0,1,3,1,1,0,1,1,1,27
12950.0,9750.0,97,3,19.0,1,12,0,0,0,0,0,0,28
15750.0,35199.0,97,3,85.0,1,3,1,0,1,1,0,1,21
15950.0,29510.0,97,3,85.0,1,3,1,0,0,1,0,1,26
14950.0,32692.0,97,3,85.0,0,3,1,0,0,1,0,1,25
15500.0,41000.0,97,3,85.0,0,3,1,0,1,1,0,1,21
15750.0,43000.0,97,3,85.0,1,3,1,0,1,1,0,1,25
15950.0,25000.0,97,3,85.0,0,3,1,0,1,1,0,1,24
14950.0,10000.0,97,3,85.0,1,3,0,0,0,1,0,1,22
15750.0,25329.0,97,3,85.0,1,3,1,0,1,1,0,1,31
14750.0,27500.0,97,3,85.0,1,3,0,0,0,0,0,1,26
13950.0,49059.0,97,3,85.0,0,3,0,0,0,0,0,1,21
16750.0,44068.0,97,3,85.0,1,3,1,0,1,1,0,1,26
13950.0,46961.0,97,3,85.0,1,3,0,0,0,0,0,1,21
16950.0,110404.0,90,5,234.0,1,3,1,0,0,1,0,1,26
16950.0,100250.0,90,5,234.0,1,3,1,0,0,1,0,1,21
15800.0,75048.0,97,5,85.0,0,3,1,0,1,1,0,1,21
15750.0,57086.0,97,5,85.0,0,3,1,0,1,1,0,0,29
15500.0,49163.0,110,5,100.0,0,3,0,0,1,0,0,1,24
13250.0,45725.0,110,5,85.0,1,3,1,0,1,1,0,0,31
15250.0,43210.0,97,5,85.0,0,3,1,0,0,1,0,1,27
15250.0,43000.0,97,5,85.0,1,3,1,0,0,1,0,1,25
15999.0,38950.0,110,5,85.0,0,3,1,1,0,1,1,1,29
14950.0,37400.0,97,5,85.0,0,3,1,0,1,1,0,1,21
16500.0,37177.0,110,5,85.0,0,3,1,1,1,1,1,1,26
16950.0,32181.0,110,5,19.0,0,12,1,1,1,1,1,0,25
14950.0,30400.0,97,5,85.0,0,3,1,0,1,1,0,1,21
15950.0,29719.0,97,5,85.0,1,3,0,0,1,0,0,1,24
15950.0,29206.0,97,5,85.0,1,3,1,0,1,1,0,1,27
12995.0,29198.0,97,5,85.0,1,3,1,0,1,0,0,0,31
15750.0,28227.0,97,5,85.0,0,3,0,0,1,0,0,1,22
16950.0,28000.0,110,5,85.0,1,3,1,0,1,1,0,1,22
16895.0,22575.0,110,5,85.0,1,3,1,0,1,1,0,0,28
14900.0,22000.0,97,5,85.0,1,3,0,0,1,1,0,1,29
17250.0,20000.0,110,5,85.0,1,3,1,0,1,1,0,1,28
15450.0,17003.0,97,5,85.0,0,3,0,0,1,0,0,1,24
16650.0,15414.0,97,5,85.0,1,3,1,0,1,1,0,1,24
17450.0,8537.0,110,5,85.0,0,3,1,1,0,1,1,1,27
14900.0,7000.0,97,5,85.0,0,12,1,0,0,1,0,0,29
15950.0,51884.0,97,3,85.0,1,3,1,0,1,1,0,1,18
16450.0,48110.0,97,3,85.0,1,3,1,0,1,1,0,1,19
15950.0,33329.0,97,3,85.0,0,3,1,0,1,1,0,1,19
15950.0,29435.0,97,3,85.0,0,3,1,0,1,1,0,1,18
15950.0,25948.0,97,3,85.0,1,3,1,0,1,1,0,1,18
16250.0,19200.0,97,3,85.0,0,3,1,0,0,1,0,1,18
16950.0,13748.0,97,3,85.0,1,3,1,0,1,1,0,0,18
15950.0,36000.0,110,5,19.0,0,3,1,0,0,1,0,0,19
16500.0,35000.0,97,5,85.0,0,3,1,0,1,1,0,1,19
16250.0,32627.0,97,5,85.0,0,3,1,0,1,1,0,1,19
15950.0,29797.0,97,5,85.0,1,3,1,0,1,1,0,1,19
16250.0,29441.0,97,5,85.0,0,3,1,0,1,1,0,1,18
16500.0,29000.0,97,5,85.0,0,3,1,0,1,1,0,0,19
16500.0,27821.0,97,5,85.0,1,3,1,0,0,1,0,1,18
16450.0,22588.0,97,5,85.0,1,3,1,0,1,1,0,1,19
17200.0,17300.0,97,5,85.0,1,3,1,0,1,1,0,1,19
4750.0,131273.0,69,5,64.0,0,3,1,0,0,1,0,0,43
11750.0,130062.0,69,5,185.0,0,3,1,0,0,0,0,0,39
13250.0,123425.0,69,5,185.0,0,3,1,0,1,1,0,0,40
11950.0,118217.0,110,5,85.0,0,3,1,0,1,1,0,0,36
11900.0,110000.0,69,5,185.0,0,6,1,0,0,1,0,0,43
